Follower Timeouts, Cumulative Percent, Time to elect Leader
12-24,0.565500,31.352997
12-24,0.566500,31.402111
12-24,0.567500,31.404972
12-24,0.568500,31.440020
12-24,0.569500,31.464100
12-24,0.570500,31.483889
12-24,0.571500,31.486988
12-24,0.572500,31.577826
12-24,0.573500,31.600952
12-24,0.574500,31.769037
12-24,0.575500,31.802893
12-24,0.576500,31.840086
12-24,0.577500,31.865120
12-24,0.578500,31.907082
12-24,0.579500,31.914949
12-24,0.580500,31.956911
12-24,0.581500,31.960011
12-24,0.582500,32.020807
12-24,0.583500,32.037020
12-24,0.584500,32.063007
12-24,0.585500,32.071829
12-24,0.586500,32.076120
12-24,0.587500,32.207966
12-24,0.588500,32.259941
12-24,0.589500,32.317877
12-24,0.590500,32.348156
12-24,0.591500,32.412052
12-24,0.592500,32.485962
12-24,0.593500,32.564878
12-24,0.594500,32.574892
12-24,0.595500,32.593012
12-24,0.596500,32.638073
12-24,0.597500,32.685995
12-24,0.598500,32.701969
12-24,0.599500,32.755136
12-24,0.600500,32.835007
12-24,0.601500,32.867908
12-24,0.602500,32.934904
12-24,0.603500,33.006907
12-24,0.604500,33.013105
12-24,0.605500,33.090115
12-24,0.606500,33.177137
12-24,0.607500,33.244848
12-24,0.608500,33.298016
12-24,0.609500,33.365011
12-24,0.610500,33.431053
12-24,0.611500,33.508062
12-24,0.612500,33.560991
12-24,0.613500,33.639908
12-24,0.614500,33.735037
12-24,0.615500,33.791065
12-24,0.616500,33.823967
12-24,0.617500,33.841133
12-24,0.618500,33.847094
12-24,0.619500,33.849955
12-24,0.620500,34.034967
12-24,0.621500,34.085989
12-24,0.622500,34.085989
12-24,0.623500,34.152985
12-24,0.624500,34.163952
12-24,0.625500,34.363985
12-24,0.626500,34.420967
12-24,0.627500,34.529924
12-24,0.628500,34.538984
12-24,0.629500,34.615040
12-24,0.630500,34.703016
12-24,0.631500,34.803867
12-24,0.632500,34.832001
12-24,0.633500,34.847975
12-24,0.634500,34.878969
12-24,0.635500,34.881115
12-24,0.636500,34.942150
12-24,0.637500,34.981012
12-24,0.638500,35.009861
12-24,0.639500,35.061121
12-24,0.640500,35.109043
12-24,0.641500,35.145998
12-24,0.642500,35.189152
12-24,0.643500,35.199881
12-24,0.644500,35.295963
12-24,0.645500,35.341024
12-24,0.646500,35.374165
12-24,0.647500,35.470963
12-24,0.648500,35.604000
12-24,0.649500,35.732031
12-24,0.650500,35.815001
12-24,0.651500,35.832167
12-24,0.652500,35.868883
12-24,0.653500,36.175966
12-24,0.654500,36.217928
12-24,0.655500,36.236048
12-24,0.656500,36.375046
12-24,0.657500,36.413908
12-24,0.658500,36.443949
12-24,0.659500,36.502123
12-24,0.660500,36.528826
12-24,0.661500,36.558151
12-24,0.662500,36.571026
12-24,0.663500,36.576033
12-24,0.664500,36.586046
12-24,0.665500,36.714077
12-24,0.666500,36.959171
12-24,0.667500,36.963940
12-24,0.668500,36.973953
12-24,0.669500,36.978960
12-24,0.670500,37.008047
12-24,0.671500,37.016869
12-24,0.672500,37.017107
12-24,0.673500,37.041903
12-24,0.674500,37.067890
12-24,0.675500,37.286997
12-24,0.676500,37.374973
12-24,0.677500,37.405968
12-24,0.678500,37.442923
12-24,0.679500,37.451982
12-24,0.680500,37.497044
12-24,0.681500,37.598848
12-24,0.682500,37.661076
12-24,0.683500,37.730932
12-24,0.684500,37.815094
12-24,0.685500,37.837982
12-24,0.686500,38.162947
12-24,0.687500,38.240910
12-24,0.688500,38.253784
12-24,0.689500,38.272858
12-24,0.690500,38.451910
12-24,0.691500,38.552999
12-24,0.692500,38.605928
12-24,0.693500,38.639069
12-24,0.694500,38.743019
12-24,0.695500,38.940907
12-24,0.696500,39.053202
12-24,0.697500,39.071083
12-24,0.698500,39.101839
12-24,0.699500,39.120913
12-24,0.700500,39.147854
12-24,0.701500,39.222002
12-24,0.702500,39.350986
12-24,0.703500,39.381027
12-24,0.704500,39.407015
12-24,0.705500,39.422989
12-24,0.706500,39.495945
12-24,0.707500,39.665222
12-24,0.708500,39.705038
12-24,0.709500,39.717197
12-24,0.710500,39.738894
12-24,0.711500,39.812088
12-24,0.712500,39.848804
12-24,0.713500,40.089846
12-24,0.714500,40.112972
12-24,0.715500,40.333986
12-24,0.716500,40.367842
12-24,0.717500,40.402889
12-24,0.718500,40.581942
12-24,0.719500,40.585995
12-24,0.720500,40.590048
12-24,0.721500,40.616989
12-24,0.722500,40.632010
12-24,0.723500,40.667057
12-24,0.724500,40.692091
12-24,0.725500,40.776968
12-24,0.726500,40.785074
12-24,0.727500,40.905952
12-24,0.728500,40.978909
12-24,0.729500,40.990114
12-24,0.730500,41.024208
12-24,0.731500,41.033983
12-24,0.732500,41.050911
12-24,0.733500,41.079998
12-24,0.734500,41.353941
12-24,0.735500,41.404009
12-24,0.736500,41.419029
12-24,0.737500,41.481018
12-24,0.738500,41.599035
12-24,0.739500,41.658163
12-24,0.740500,41.699886
12-24,0.741500,41.815996
12-24,0.742500,41.822195
12-24,0.743500,41.970968
12-24,0.744500,41.992903
12-24,0.745500,41.999817
12-24,0.746500,42.008877
12-24,0.747500,42.029142
12-24,0.748500,42.033195
12-24,0.749500,42.111158
12-24,0.750500,42.144775
12-24,0.751500,42.201996
12-24,0.752500,42.249918
12-24,0.753500,42.292118
12-24,0.754500,42.303801
12-24,0.755500,42.304993
12-24,0.756500,42.304993
12-24,0.757500,42.306900
12-24,0.758500,42.346001
12-24,0.759500,42.365074
12-24,0.760500,42.604208
12-24,0.761500,42.613029
12-24,0.762500,42.617083
12-24,0.763500,42.828798
12-24,0.764500,42.917013
12-24,0.765500,43.040991
12-24,0.766500,43.114185
12-24,0.767500,43.151855
12-24,0.768500,43.240070
12-24,0.769500,43.252945
12-24,0.770500,43.261051
12-24,0.771500,43.311119
12-24,0.772500,43.313026
12-24,0.773500,43.344975
12-24,0.774500,43.383837
12-24,0.775500,43.436050
12-24,0.776500,43.465853
12-24,0.777500,43.524981
12-24,0.778500,43.545961
12-24,0.779500,43.566942
12-24,0.780500,43.606043
12-24,0.781500,43.632030
12-24,0.782500,43.668985
12-24,0.783500,43.699026
12-24,0.784500,43.731928
12-24,0.785500,43.757200
12-24,0.786500,43.781042
12-24,0.787500,43.798923
12-24,0.788500,43.821812
12-24,0.789500,43.904066
12-24,0.790500,43.981075
12-24,0.791500,44.230938
12-24,0.792500,44.260025
12-24,0.793500,44.303894
12-24,0.794500,44.342995
12-24,0.795500,44.488907
12-24,0.796500,44.564962
12-24,0.797500,44.581175
12-24,0.798500,44.631004
12-24,0.799500,44.632196
12-24,0.800500,44.648170
12-24,0.801500,44.726849
12-24,0.802500,44.824123
12-24,0.803500,44.851065
12-24,0.804500,44.977903
12-24,0.805500,45.077085
12-24,0.806500,45.145988
12-24,0.807500,45.171022
12-24,0.808500,45.176983
12-24,0.809500,45.225143
12-24,0.810500,45.254946
12-24,0.811500,45.302868
12-24,0.812500,45.466900
12-24,0.813500,45.722961
12-24,0.814500,45.803070
12-24,0.815500,45.873880
12-24,0.816500,45.885086
12-24,0.817500,45.933008
12-24,0.818500,46.009064
12-24,0.819500,46.013117
12-24,0.820500,46.108007
12-24,0.821500,46.130180
12-24,0.822500,46.241045
12-24,0.823500,46.304941
12-24,0.824500,46.428919
12-24,0.825500,46.499968
12-24,0.826500,46.626091
12-24,0.827500,46.637058
12-24,0.828500,46.656847
12-24,0.829500,46.687841
12-24,0.830500,47.013044
12-24,0.831500,47.051907
12-24,0.832500,47.081947
12-24,0.833500,47.127008
12-24,0.834500,47.199965
12-24,0.835500,47.281027
12-24,0.836500,47.327042
12-24,0.837500,47.338963
12-24,0.838500,47.435045
12-24,0.839500,47.453880
12-24,0.840500,47.456026
12-24,0.841500,47.503948
12-24,0.842500,47.683001
12-24,0.843500,47.818899
12-24,0.844500,47.852039
12-24,0.845500,47.938108
12-24,0.846500,47.970057
12-24,0.847500,47.971964
12-24,0.848500,48.019886
12-24,0.849500,48.150063
12-24,0.850500,48.228979
12-24,0.851500,48.228979
12-24,0.852500,48.236132
12-24,0.853500,48.277140
12-24,0.854500,48.555851
12-24,0.855500,48.557997
12-24,0.856500,48.609972
12-24,0.857500,48.689127
12-24,0.858500,48.713923
12-24,0.859500,48.718214
12-24,0.860500,48.879862
12-24,0.861500,49.063921
12-24,0.862500,49.438953
12-24,0.863500,49.679041
12-24,0.864500,49.773932
12-24,0.865500,49.819946
12-24,0.866500,49.835920
12-24,0.867500,49.849987
12-24,0.868500,49.903154
12-24,0.869500,49.973011
12-24,0.870500,50.045967
12-24,0.871500,50.081968
12-24,0.872500,50.117016
12-24,0.873500,50.288200
12-24,0.874500,50.384045
12-24,0.875500,50.462008
12-24,0.876500,50.477028
12-24,0.877500,50.491095
12-24,0.878500,50.533772
12-24,0.879500,50.681114
12-24,0.880500,50.756931
12-24,0.881500,50.782919
12-24,0.882500,50.803900
12-24,0.883500,50.809860
12-24,0.884500,50.812960
12-24,0.885500,50.882101
12-24,0.886500,50.904989
12-24,0.887500,51.044941
12-24,0.888500,51.159143
12-24,0.889500,51.298141
12-24,0.890500,51.301956
12-24,0.891500,51.521063
